# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30001191	sp|Q6NVN0|SOX2_XENTR	*-*	Transcription factor Sox-2		GO:0003677, GO:0005634, GO:0006355, GO:0007275, GO:0007399, GO:0030154, GO:0043565, GO:0045893, GO:0045944
SMED30001192	tr|A0A1S3HQH2|A0A1S3HQH2_LINUN	***	ras-related protein Rab-14		GO:0003924, GO:0005525, GO:0005802, GO:0005829, GO:0006895, GO:0032456, GO:0042742, GO:0045335, GO:0055037, GO:0090382
SMED30025160	tr|A0A162SNS3|A0A162SNS3_9CRUS	*-*	PQ-loop repeat-containing protein 1		GO:0016020, GO:0016021
SMED30001190	tr|A0A443QPQ8|A0A443QPQ8_9ACAR	***	Dynamin-like protein		GO:0000166, GO:0003924, GO:0005525
SMED30025161			Unknown protein		
SMED30001199			Unknown protein		
SMED30025166			Unknown protein		
SMED30025167			Unknown protein		
SMED30001197			Unknown protein		
SMED30025168	tr|A0A4Y2P1J5|A0A4Y2P1J5_ARAVE	*-*	Tigger transposable element-derived protein 4		GO:0003676, GO:0003677
SMED30001198			Unknown protein		
SMED30025169			Unknown protein		
SMED30001195	tr|A0A3M7Q4S4|A0A3M7Q4S4_BRAPC	*-*	Transcription factor		GO:0046983
SMED30025162			Unknown protein		
SMED30001196	tr|A0A2H1CJH5|A0A2H1CJH5_FASHE	***	Myosin head		GO:0000166, GO:0003774, GO:0003779, GO:0005524, GO:0016459
SMED30025163			Unknown protein		
SMED30001193			Unknown protein		
SMED30025164	sp|Q6DIX1|NDRG4_XENTR	*-*	Protein NDRG4		GO:0003674, GO:0005575, GO:0005737, GO:0005829, GO:0008150
SMED30001194	tr|A0A4Y2JVF4|A0A4Y2JVF4_ARAVE	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0015074
SMED30025165			Unknown protein		
SMED30013171			Unknown protein		
SMED30013170	tr|A0A504Z316|A0A504Z316_FASGI	*-*	Arginine kinase		GO:0000166, GO:0003824, GO:0004111, GO:0005524, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0046314
SMED30013188			Unknown protein		
SMED30013187			Unknown protein		
SMED30013189	tr|A0A3Q1FPG8|A0A3Q1FPG8_9TELE	***	DENN/MADD domain containing 6B		GO:0017112
SMED30013184	tr|A0A419PPL3|A0A419PPL3_CLOSI	*-*	Zinc finger protein		GO:0003676
SMED30013183	tr|A0A0R3U6H2|A0A0R3U6H2_9CEST	*-*	zf-3CxxC domain-containing protein		GO:0016020, GO:0016021
SMED30013186			Unknown protein		
SMED30013185	tr|G3Q7J2|G3Q7J2_GASAC	***	Ring finger protein 103		GO:0004842, GO:0016020, GO:0016021, GO:0016567
SMED30025150	tr|A0A087T3I4|A0A087T3I4_STEMI	*-*	Retrovirus-related Pol polyprotein from transposon 412		GO:0003676, GO:0003677, GO:0004190, GO:0006313, GO:0006508, GO:0015074
SMED30025155			Unknown protein		
SMED30025156			Unknown protein		
SMED30025157			Unknown protein		
SMED30025158			Unknown protein		
SMED30025151			Unknown protein		
SMED30025152	tr|A0A1S3HGZ4|A0A1S3HGZ4_LINUN	***	cilia- and flagella-associated protein 91		GO:0031514
SMED30025153			Unknown protein		
SMED30025154			Unknown protein		
SMED30013180			Unknown protein		
SMED30013182	tr|A0A419Q2P2|A0A419Q2P2_CLOSI	*-*	Rho GTPase-activating protein		GO:0007165
SMED30013181			Unknown protein		
SMED30025159			Unknown protein		
SMED30013199			Unknown protein		
SMED30013198			Unknown protein		
SMED30013195			Unknown protein		
SMED30013194			Unknown protein		
SMED30013197	tr|V3Z912|V3Z912_LOTGI	***	cGMP-dependent protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0004692, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740, GO:0030553
SMED30013196			Unknown protein		
SMED30025180	tr|A0A075A4A9|A0A075A4A9_9TREM	*-*	Reverse transcriptase domain-containing protein		
SMED30025181	sp|Q26630|IDLC_STRPU	***	33 kDa inner dynein arm light chain, axonemal		GO:0003774, GO:0030286
SMED30025182			Unknown protein		
SMED30025183			Unknown protein		
SMED30025188	sp|Q21RP5|FMT_RHOFT	***	Methionyl-tRNA formyltransferase		GO:0003824, GO:0004479, GO:0006412, GO:0006413, GO:0009058, GO:0016740, GO:0016742, GO:0019988, GO:0071951
SMED30025189			Unknown protein		
SMED30025184			Unknown protein		
SMED30025185			Unknown protein		
SMED30025186	tr|A0A0K8U1A4|A0A0K8U1A4_BACLA	*-*	Histone-lysine N-methyltransferase SETMAR		GO:0008168, GO:0016740, GO:0032259
SMED30025187			Unknown protein		
SMED30013191			Unknown protein		
SMED30013190			Unknown protein		
SMED30013193	tr|K7F3H3|K7F3H3_PELSI	***	Spartin		GO:0005737, GO:0005741, GO:0005811, GO:0005829, GO:0005886, GO:0009838, GO:0030496, GO:0030514, GO:0031625, GO:0034389, GO:0045202, GO:0048698, GO:0050905, GO:0051301, GO:0051881, GO:0060612
SMED30013192	tr|A0A172RVR3|A0A172RVR3_SCHMD	*-*	Boule 2 RNA-binding protein		GO:0003676, GO:0003723, GO:0003729
SMED30025170	tr|A0A2D0PLJ8|A0A2D0PLJ8_ICTPU	***	E3 ubiquitin-protein ligase CHFR		GO:0016874
SMED30025171			Unknown protein		
SMED30025172			Unknown protein		
SMED30025177			Unknown protein		
SMED30025178			Unknown protein		
SMED30025179			Unknown protein		
SMED30025173			Unknown protein		
SMED30025174	sp|Q5NVB2|SELW_PONAB	*-*	Selenoprotein W		GO:0005737, GO:0016209, GO:0098869
SMED30025175	tr|A0A3B4UIS3|A0A3B4UIS3_SERDU	***	Ethanolamine kinase 1		
SMED30025176	tr|A0A1A6GSE2|A0A1A6GSE2_NEOLE	***	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0007165, GO:0008270, GO:0042981, GO:0043123, GO:0046872
SMED30025191	tr|A0A4Z2D2G0|A0A4Z2D2G0_SCHJA	***	Guanine nucleotide-binding protein G(I) subunit alpha		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0007188, GO:0019001, GO:0031683, GO:0046872
SMED30025192			Unknown protein		
SMED30025193	sp|Q498L0|C170B_XENLA	*-*	Centrosomal protein of 170 kDa protein B		GO:0005737, GO:0005856, GO:0005874
SMED30025194	tr|M7NJL4|M7NJL4_PNEMU	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30025190	tr|A0A3B5PS71|A0A3B5PS71_XIPMA	*-*	PRA1 family protein		GO:0016020, GO:0016021
SMED30025199			Unknown protein		
SMED30025195			Unknown protein		
SMED30025196			Unknown protein		
SMED30025197	sp|Q3TQI7|TLS1_MOUSE	***	Telomere length and silencing protein 1 homolog		
SMED30025198			Unknown protein		
SMED30015730	tr|A0A257G3S6|A0A257G3S6_9BURK	*-*	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase		GO:0006629, GO:0008444, GO:0008654, GO:0016020, GO:0016021, GO:0016740, GO:0016780
SMED30015731			Unknown protein		
SMED30027719			Unknown protein		
SMED30015738			Unknown protein		
SMED30015739	tr|D3TRQ9|D3TRQ9_GLOMM	***	Aldo-keto reductase		GO:0016491, GO:0055114
SMED30015736			Unknown protein		
SMED30015737			Unknown protein		
SMED30015734			Unknown protein		
SMED30015735	tr|S5WMZ9|S5WMZ9_SCHMD	***	Sh3bp2		GO:0005070, GO:0007165, GO:0009967
SMED30015732			Unknown protein		
SMED30015733			Unknown protein		
SMED30003752			Unknown protein		
SMED30003751			Unknown protein		
SMED30003750	tr|A0A481MTM9|A0A481MTM9_SCHMD	***	Vang-3		GO:0007275, GO:0016020, GO:0016021
SMED30027721			Unknown protein		
SMED30027720	tr|A0A068YD94|A0A068YD94_ECHMU	***	Filamin ABP280 repeat		
SMED30015729			Unknown protein		
SMED30027727	tr|A0A0C2I6B2|A0A0C2I6B2_THEKT	*-*	MULE domain-containing protein		GO:0016020, GO:0016021
SMED30003759			Unknown protein		
SMED30027726	tr|A0A4W5QRB3|A0A4W5QRB3_9TELE	***	Niemann-Pick disease, type C1		GO:0005319, GO:0006869, GO:0016020, GO:0016021
SMED30003758			Unknown protein		
SMED30027729			Unknown protein		
SMED30003757			Unknown protein		
SMED30027728	tr|A0A2G8KLA7|A0A2G8KLA7_STIJA	*-*	Kinesin-like protein		GO:0000166, GO:0003774, GO:0003777, GO:0005524, GO:0005874, GO:0007018, GO:0008017, GO:0008569
SMED30003756			Unknown protein		
SMED30027723	tr|A0A3Q0KNL6|A0A3Q0KNL6_SCHMA	***	Mitochondrial carrier protein-related		GO:0005347, GO:0005743, GO:0015867, GO:0016020, GO:0016021, GO:0055085
SMED30003755			Unknown protein		
SMED30027722	tr|A0A3R7GR98|A0A3R7GR98_CLOSI	***	5-methylcytosine rRNA methyltransferase NSUN4		GO:0003723, GO:0008168, GO:0016740, GO:0032259
SMED30003754			Unknown protein		
SMED30027725			Unknown protein		
SMED30003753			Unknown protein		
SMED30027724			Unknown protein		
SMED30015741			Unknown protein		
SMED30015742			Unknown protein		
SMED30015740	tr|A0A074ZGP1|A0A074ZGP1_9TREM	*-*	PDZ/DHR/GLGF domain protein		
SMED30027709			Unknown protein		
SMED30027708	tr|A0A4Y2U8T0|A0A4Y2U8T0_ARAVE	*-*	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2		GO:0003676
SMED30015749			Unknown protein		
SMED30015747			Unknown protein		
SMED30015748			Unknown protein		
SMED30015745			Unknown protein		
SMED30015746	tr|H3A5X9|H3A5X9_LATCH	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30015743			Unknown protein		
SMED30015744	tr|T1G1R6|T1G1R6_HELRO	***	RING-type domain-containing protein		GO:0016020, GO:0016021
SMED30001100			Unknown protein		
SMED30003763			Unknown protein		
SMED30001101			Unknown protein		
SMED30003762	tr|A0A504YRP0|A0A504YRP0_FASGI	***	Tyrosine-protein kinase		GO:0000166, GO:0004672, GO:0004713, GO:0004715, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740, GO:0018108, GO:0035556
SMED30003761			Unknown protein		
SMED30027710	tr|A0A2P8YMP8|A0A2P8YMP8_BLAGE	***	Ras-related protein Rab-3		GO:0003924, GO:0005525
SMED30003760			Unknown protein		
SMED30001108			Unknown protein		
SMED30027716			Unknown protein		
SMED30001109	tr|A0A1W4WKY6|A0A1W4WKY6_AGRPL	*-*	arginine kinase-like		GO:0000166, GO:0003824, GO:0004111, GO:0005524, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0046314
SMED30027715	tr|A0A4V3SEV5|A0A4V3SEV5_OPIFE	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30001106	tr|A0A210PHC0|A0A210PHC0_MIZYE	***	Vacuolar protein sorting-associated protein 54		GO:0000938, GO:0003676, GO:0005829, GO:0042147
SMED30003769	tr|A0A1S3HTJ8|A0A1S3HTJ8_LINUN	*-*	calmodulin-beta		GO:0005509
SMED30027718	tr|C4QIH2|C4QIH2_SCHMA	***	Lupus la ribonucleoprotein, putative		GO:0003676, GO:0003723, GO:0005634, GO:0006396, GO:1990904
SMED30001107	tr|A0A497V0P3|A0A497V0P3_9FLAO	***	Lipid-A-disaccharide synthase		GO:0006629, GO:0008915, GO:0009245, GO:0016740, GO:0016757
SMED30003768	sp|P31370|POU1_DUGJA	***	POU domain protein 1		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0043565
SMED30027717	tr|A0A267EYK2|A0A267EYK2_9PLAT	*-*	JmjC domain-containing protein		GO:0016020, GO:0016021
SMED30001104	tr|A0A0F9WAX3|A0A0F9WAX3_9MICR	*-*	Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0015074
SMED30003767	tr|A0A3N0Y8Q2|A0A3N0Y8Q2_ANAGA	*-*	Transposable element Tc1 transposase		GO:0003677, GO:0006313, GO:0015074
SMED30027712	tr|I1ZIH9|I1ZIH9_SCHMD	*-*	IAP domain containing-1		
SMED30001105			Unknown protein		
SMED30003766			Unknown protein		
SMED30027711			Unknown protein		
SMED30001102	tr|A0A445LVK8|A0A445LVK8_GLYSO	*-*	BP28CT domain-containing protein		
SMED30003765	tr|A0A3R7EN17|A0A3R7EN17_CLOSI	***	Protein odr-4-like protein		GO:0016020, GO:0016021
SMED30027714			Unknown protein		
SMED30001103			Unknown protein		
SMED30003764	sp|Q6NUH2|NAA40_XENLA	***	N-alpha-acetyltransferase 40		GO:0005634, GO:0005737, GO:0006474, GO:0008080, GO:0010485, GO:0016740, GO:0016746, GO:0043967, GO:0043968, GO:0043998, GO:1990189
SMED30027713	tr|A0A3R7CH81|A0A3R7CH81_CLOSI	*-*	E3 ubiquitin-protein ligase RBBP6		GO:0003676, GO:0006397, GO:0008270, GO:0016567, GO:0061630
SMED30015752			Unknown protein		
SMED30015753			Unknown protein		
SMED30015750	tr|A0A1S3HSL5|A0A1S3HSL5_LINUN	***	alanine--tRNA ligase, cytoplasmic		GO:0000049, GO:0000166, GO:0003676, GO:0003723, GO:0004812, GO:0004813, GO:0005524, GO:0005737, GO:0006412, GO:0006419, GO:0008270, GO:0016874, GO:0043039, GO:0046872
SMED30015751	tr|K1PJG5|K1PJG5_CRAGI	***	RNA-binding protein 40		GO:0003676, GO:0003723
SMED30015758	tr|A0A4E0RD83|A0A4E0RD83_FASHE	***	Glutamate receptor ionotropic kainate 3		GO:0004970, GO:0005216, GO:0005886, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0030054, GO:0034220, GO:0035235, GO:0038023, GO:0045202, GO:0045211
SMED30015759			Unknown protein		
SMED30015756			Unknown protein		
SMED30015757			Unknown protein		
SMED30015754			Unknown protein		
SMED30015755			Unknown protein		
SMED30001111			Unknown protein		
SMED30003774	tr|A0A556TUR0|A0A556TUR0_BAGYA	***	Serine/threonine-protein kinase pim-3		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30027741			Unknown protein		
SMED30001112			Unknown protein		
SMED30003773			Unknown protein		
SMED30027740			Unknown protein		
SMED30003772			Unknown protein		
SMED30027743			Unknown protein		
SMED30001110			Unknown protein		
SMED30003771	tr|A0A310SXT1|A0A310SXT1_9HYME	***	GPI ethanolamine phosphate transferase 2		GO:0003824, GO:0006506, GO:0016020, GO:0016021, GO:0016740, GO:0051377
SMED30027742	tr|A0A183SWW7|A0A183SWW7_SCHSO	***	Innexin		GO:0005886, GO:0005921, GO:0006811, GO:0016020, GO:0016021, GO:0030054
SMED30003770			Unknown protein		
SMED30001119	tr|A0A443SUR6|A0A443SUR6_9ACAR	***	DTW domain-containing protein 1-like protein		
SMED30027749			Unknown protein		
SMED30027748			Unknown protein		
SMED30001117	tr|A0A4Q8K4Z0|A0A4Q8K4Z0_9ARAC	*-*	U14-Liphistoxin-Lth1a_1		
SMED30001118			Unknown protein		
SMED30003779	tr|B7PNT5|B7PNT5_IXOSC	*-*	Monocarboxylate transporter, putative		GO:0015718, GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30001115	tr|A0A1I8J2G3|A0A1I8J2G3_9PLAT	***	Death domain-containing protein		GO:0007165
SMED30003778			Unknown protein		
SMED30027745	tr|A0A1S3H801|A0A1S3H801_LINUN	***	molybdate-anion transporter isoform X2		GO:0015098, GO:0015689, GO:0016020, GO:0016021
SMED30001116	tr|A0A1S3I8C2|A0A1S3I8C2_LINUN	***	cilia- and flagella-associated protein 44-like		GO:0031514
SMED30003777			Unknown protein		
SMED30027744			Unknown protein		
SMED30001113	tr|A0A0V0JBN6|A0A0V0JBN6_SCHSO	*-*	FERM domain-containing protein		GO:0005856, GO:0008092
SMED30003776			Unknown protein		
SMED30027747			Unknown protein		
SMED30001114			Unknown protein		
SMED30003775	tr|Q7QEY8|Q7QEY8_ANOGA	*-*	AGAP000218-PA		GO:0016020, GO:0016021
SMED30027746			Unknown protein		
SMED30013100			Unknown protein		
SMED30015763	tr|A0A564YQA6|A0A564YQA6_HYMDI	***	Bravo_FIGEY domain-containing protein		GO:0016020, GO:0016021
SMED30015764	tr|A0A3Q0QW46|A0A3Q0QW46_AMPCI	*-*	Formin binding protein 1b		GO:0006897
SMED30013102			Unknown protein		
SMED30015761			Unknown protein		
SMED30013101			Unknown protein		
SMED30015762			Unknown protein		
SMED30015760	tr|H9GEK8|H9GEK8_ANOCA	***	RNA pseudouridine synthase domain containing 1		GO:0001522, GO:0003723, GO:0009451, GO:0009982
SMED30013108	tr|A0A0X3P4H1|A0A0X3P4H1_SCHSO	***	Syntaxin-binding protein 1		GO:0006904, GO:0016192
SMED30013107	tr|D0VYP9|D0VYP9_DUGJA	***	Glyceraldehyde-3-phosphate dehydrogenase		GO:0000166, GO:0004365, GO:0006006, GO:0006096, GO:0016491, GO:0016620, GO:0050661, GO:0051287, GO:0055114
SMED30015769			Unknown protein		
SMED30013109	tr|A0A2S2PGY7|A0A2S2PGY7_SCHGA	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723
SMED30013104			Unknown protein		
SMED30015767			Unknown protein		
SMED30013103			Unknown protein		
SMED30015768	tr|B1NWV6|B1NWV6_SCHMD	*-*	Adenomatous polyposis coli-like protein		GO:0008013, GO:0016055, GO:0030178
SMED30013106	sp|P69100|ERH_TAESO	***	Enhancer of rudimentary homolog		GO:0007049
SMED30015765			Unknown protein		
SMED30013105	tr|O02572|O02572_9PLAT	***	Enolase		GO:0000015, GO:0000287, GO:0004634, GO:0006096
SMED30015766			Unknown protein		
SMED30001122	sp|Q640L2|SPX3_XENLA	***	Sugar phosphate exchanger 3		GO:0005783, GO:0005789, GO:0008643, GO:0016020, GO:0016021, GO:0022857, GO:0030176, GO:0055085
SMED30003785			Unknown protein		
SMED30027730			Unknown protein		
SMED30001123	tr|A0A3B5M3C1|A0A3B5M3C1_9TELE	***	Solute carrier family 8 member 1b		GO:0005432, GO:0006816, GO:0007154, GO:0016020, GO:0016021, GO:0035725, GO:0055085
SMED30003784			Unknown protein		
SMED30001120	tr|A0A2C9K357|A0A2C9K357_BIOGL	***	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial		GO:0000166, GO:0003824, GO:0005524, GO:0005739, GO:0006412, GO:0016874, GO:0016884, GO:0030956, GO:0032543, GO:0050567, GO:0070681
SMED30003783	sp|Q6GL68|TF7L1_XENTR	*-*	Transcription factor 7-like 1		GO:0003677, GO:0005634, GO:0005667, GO:0006357, GO:0007275, GO:0008013, GO:0008134, GO:0016055, GO:0060070
SMED30027732	tr|A0A193KUH4|A0A193KUH4_SCHMD	***	GCR361		GO:0004930, GO:0004983, GO:0007186, GO:0007218, GO:0016020, GO:0016021
SMED30001121	tr|A0A1V9Y0Q7|A0A1V9Y0Q7_9ACAR	***	Metabotropic glutamate receptor-like		GO:0004930, GO:0005886, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30003782			Unknown protein		
SMED30027731			Unknown protein		
SMED30003781			Unknown protein		
SMED30003780	tr|A0A210PGB0|A0A210PGB0_MIZYE	***	Serine/threonine-protein kinase 36		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30027738			Unknown protein		
SMED30027737			Unknown protein		
SMED30001128	tr|W6U8E6|W6U8E6_ECHGR	*-*	Collagen alpha-1(IV) chain		GO:0005201, GO:0005581
SMED30001129			Unknown protein		
SMED30027739			Unknown protein		
SMED30001126			Unknown protein		
SMED30003789			Unknown protein		
SMED30027734			Unknown protein		
SMED30001127	tr|A0A5J4NBF9|A0A5J4NBF9_9TREM	*-*	Histone chaperone ASF1		GO:0005634, GO:0006333, GO:0006334, GO:0006337, GO:0016573, GO:0042393
SMED30003788	tr|K1R9P5|K1R9P5_CRAGI	***	Mitochondrial import receptor subunit TOM70		GO:0016020, GO:0016021
SMED30027733	tr|H2ZB27|H2ZB27_CIOSA	*-*	NAD-dependent protein deacetylase		GO:0008270, GO:0016575, GO:0016740, GO:0017136, GO:0046872, GO:0070403
SMED30001124			Unknown protein		
SMED30003787			Unknown protein		
SMED30027736	tr|A0A4Z2DMT2|A0A4Z2DMT2_SCHJA	***	FMRFamide receptor isoform X1 isoform 1		GO:0016020, GO:0016021
SMED30001125			Unknown protein		
SMED30003786			Unknown protein		
SMED30027735			Unknown protein		
SMED30013111			Unknown protein		
SMED30015774			Unknown protein		
SMED30013110			Unknown protein		
SMED30015775	tr|A0A4E0RZP9|A0A4E0RZP9_FASHE	***	Adenylate cyclase type		GO:0009190, GO:0016020, GO:0016021, GO:0035556
SMED30013113	tr|G7YU58|G7YU58_CLOSI	*-*	Tropomyosin-2		GO:0016020, GO:0016021
SMED30015772			Unknown protein		
SMED30013112			Unknown protein		
SMED30015773			Unknown protein		
SMED30015770			Unknown protein		
SMED30015771			Unknown protein		
SMED30013119			Unknown protein		
SMED30013118	tr|A0A210PTZ7|A0A210PTZ7_MIZYE	***	Helicase SKI2W		GO:0003676, GO:0003723, GO:0003724, GO:0004386, GO:0005524, GO:0006401
SMED30013115			Unknown protein		
SMED30015778	tr|A0A498L4A9|A0A498L4A9_LABRO	*-*	PiggyBac transposable element-derived 4-like protein		GO:0016020, GO:0016021
SMED30013114			Unknown protein		
